pathway	overlap_size	pathway_size	p-value (raw)	p-value	overlap_features (name)	overlap_features (id)	used_input_mzs
Bile acid biosynthesis	12	59	0.559604433110845	0.06719035069358548	Cholest-5-ene-3beta,26-diol; Cholest-5-ene-3beta,27-diol; 26-Hydroxycholesterol; 27-Hydroxycholesterol$Taurodeoxycholate$$Taurochenodeoxycholate; Chenodeoxycholoyltaurine$3alpha,7alpha,26-Trihydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha,26-triol$3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetraol; 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol$3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-al$3alpha,7alpha,12alpha-trihydroxy-5beta-cholestan-27-al$3alpha,12alpha-Dihydroxy-5beta-cholanate; Deoxycholic acid; Deoxycholate; 3alpha,12alpha-Dihydroxy-5beta-cholanic acid$5beta-cholestane-3alpha,7alpha,12alpha,25-tetrol$7alpha-Hydroxy-5beta-cholestan-3-one$3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha,12alpha-triol; 3alpha,7alpha,12alpha-Trihydroxycoprostane$3alpha,7alpha-Dihydroxy-5beta-cholestanate; 3alpha,7alpha-Dihydroxy-5beta-cholestanoate$7alpha-Hydroxycholesterol; Cholest-5-ene-3beta,7alpha-diol$Chenodeoxyglycocholate$Chenodeoxycholate; Chenodeoxycholic acid; 3alpha,7alpha-Dihydroxy-5beta-cholanic acid; Chenodiol$Hyodeoxycholate; 6alpha-Hydroxylithocholate; 3alpha,6alpha-Dihydroxy-5beta-cholanic acid$Cholesterol; Cholest-5-en-3beta-ol$Cholest-5-ene-3beta,25-diol; 25-Hydroxycholesterol$24-Hydroxycholesterol; Cerebrosterol; Cholest-5-ene-3,24-diol; (24S)-24-Hydroxycholesterol$27-Hydroxycholesterol$5beta-cholestane-3alpha,7alpha,12alpha,27-tetraol	C15610;C05463;C05466;C05465;C05444;C05446;C01301;CE4872;C04483;CE1272;C05451;C05454;C04554;C03594;C05462;C02528;C15517;C00187;C15519;C13550;C06340;CE0232	425.343,213.172;538.2549;378.2983;538.2549;404.3405;420.3346;493.3018;493.3018;357.2779,357.2788,357.2784;420.3346;425.343,213.172;404.3405;493.3018;425.343,213.172;378.2983;357.2779,357.2788,357.2784;357.2779,357.2788,357.2784;455.3477,425.3145;425.343,213.172;425.343,213.172;425.343,213.172;420.3346
Omega-3 fatty acid metabolism	3	11	0.3965305114721175	0.06958291657100979	13(S)-HPOT; (9Z,11E,14Z)-(13S)-13-Hydroperoxyoctadeca-9,11,14-trienoic acid; (9Z,11E,14Z)-(13S)-Hydroperoxyoctadeca-(9,11,14)-trienoate; 13(S)-HpOTrE$9(S)-HPOT; (10E,12Z,15Z)-(9S)-9-Hydroperoxyoctadeca-10,12,15-trienoic acid; 9(S)-HpOTrE$nisinate	C04785;C16321;CE4786	312.226,156.1151,312.2271,294.1953;312.226,156.1151,312.2271,294.1953;357.2779
Glycosphingolipid metabolism	7	34	0.559342213287282	0.08133015977699598	Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane$Phytosphingosine; 4-D-Hydroxysphinganine$N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac$Psychosine sulfate$Sulfatide; Galactosylceramidesulfate; Cerebroside 3-sulfate$N-Acylsphingosine; Ceramide$Sphinganine 1-phosphate; Dihydrosphingosine 1-phosphate	C00836;C12144;C00270;C02744;C06125;C00195;C01120	386.2635;356.253;292.0999,310.1104;474.312;892.6526,891.6489;481.4481;381.2656
Fatty Acid Metabolism	4	18	0.5175064722096582	0.09095488423895504	Cholesterol; Cholest-5-en-3beta-ol$Tetradecanoic acid; Tetradecanoate; Myristic acid$octadecenoate (n-C18:1)$Dodecanoic acid; Dodecanoate; Dodecylcarboxylate; Lauric acid	C00187;C06424;ocdcea;C02679	455.3477,425.3145;287.1737;282.2555,282.2561,300.2657;200.1772
Squalene and cholesterol biosynthesis	8	41	0.6208852475842759	0.09983330008014912	4,4-Dimethyl-5alpha-cholesta-8-en-3beta-ol$4alpha-Methylzymosterol-4-carboxylate; 4alpha-Carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol$24,25-Dihydrolanosterol$Sitosterol; beta-Sitosterol$5alpha-Cholest-7-en-3beta-ol; Lathosterol$4,4-dimethylcholesta-8(9)-en-3beta-ol$cholesta-8(9)-en-3beta-ol$Cholesterol; Cholest-5-en-3beta-ol$5-Dehydroepisterol$5alpha-Cholest-8-en-3beta-ol; Zymostenol; Cholestenol	C15915;C15808;C05109;C01753;C01189;CE2314;CE2315;C00187;C15780;C03845	483.3777,483.377;415.3552,425.343;497.3934;483.3777,483.377;455.3477,425.3145;483.377,483.3777;425.3145,455.3477;455.3477,425.3145;398.3509,415.3552;455.3477,425.3145
C21-steroid hormone biosynthesis and metabolism	16	87	0.7268772972532909	0.1300841384155923	Cholest-5-ene-3beta,26-diol; Cholest-5-ene-3beta,27-diol; 26-Hydroxycholesterol; 27-Hydroxycholesterol$20alpha-Hydroxycholesterol$22beta-Hydroxycholesterol; (22R)-22-Hydroxycholesterol$18-Hydroxycortisol$18-Oxocortisol$3alpha,7alpha,26-Trihydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha,26-triol$estradiol glucuronide$3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetraol; 5beta-Cholestane-3alpha,7alpha,12alpha,26-tetrol$Aldosterone; 11beta,21-Dihydroxy-3,20-dioxo-4-pregnen-18-al$3alpha-Hydroxy-5beta-pregnane-20-one$Progesterone; 4-Pregnene-3,20-dione$Cortisone; 17alpha,21-Dihydroxy-4-pregnene-3,11,20-trione; Kendall's compound E; Reichstein's substance Fa$estrone glucuronide$Pregnenolone; 5-Pregnen-3beta-ol-20-one; 3beta-Hydroxypregn-5-en-20-one$5beta-Pregnane-3,20-dione$3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane; 5beta-Cholestane-3alpha,7alpha,12alpha-triol; 3alpha,7alpha,12alpha-Trihydroxycoprostane$19-oxo-deoxycorticosterone$16alpha-Hydroxydehydroepiandrosterone; 5-Androstene-3beta,16alpha-diol-17-one$20alpha-Hydroxy-4-pregnen-3-one; 20alpha-Hydroxypregn-4-en-3-one; 20alpha-Hydroxyprogesterone$11-Dehydrocorticosterone$11beta-Hydroxyandrost-4-ene-3,17-dione; Androst-4-ene-3,17-dione-11beta-ol; 4-Androsten-11beta-ol-3,17-dione$Cholesterol; Cholest-5-en-3beta-ol$Cholest-5-ene-3beta,25-diol; 25-Hydroxycholesterol$24-Hydroxycholesterol; Cerebrosterol; Cholest-5-ene-3,24-diol; (24S)-24-Hydroxycholesterol	C15610;C05500;C05502;CE1342;CE1343;C05444;estradiolglc;C05446;C01780;C05480;C00410;C00762;estroneglc;C01953;C05479;C05454;CE1349;C05139;C04042;C05490;C05284;C00187;C15519;C13550	425.343,213.172;425.343,213.172;425.343,213.172;380.2161;378.1985;404.3405;236.1022;420.3346;277.2403;302.2364,302.2359;271.2424;277.2403;224.1027;271.2424;271.2424;404.3405;261.2452;304.2011;271.2424;261.2452;304.2011;455.3477,425.3145;425.343,213.172;425.343,213.172
De novo fatty acid biosynthesis	5	29	0.7367124719783137	0.1896137508394632	(9Z)-Octadecenoic acid; (Z)-Octadec-9-enoic acid; Oleate; Oleic acid$(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA$Tetradecanoic acid; Tetradecanoate; Myristic acid$(8Z,11Z,14Z)-Icosatrienoic acid; Dihomo-gamma-linolenic acid; (Z,Z,Z)-8,11,14-Eicosatrienoic acid; (Z,Z,Z)-8,11,14-Icosatrienoic acid; (Z,Z,Z)-8,11,14-Eicosatrienoate; (Z,Z,Z)-8,11,14-Icosatrienoate; 8,11,14-Eicosatrienoate; 8,11,14-Icosatrienoate$Dodecanoic acid; Dodecanoate; Dodecylcarboxylate; Lauric acid	C00712;C16169;C06424;C03242;C02679	282.2561,282.2555;360.1233;287.1737;271.2424;200.1772
Glycerophospholipid metabolism	6	39	0.8392040607896973	0.2727013470147429	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine$Sphinganine; Dihydrosphingosine; 2-Amino-1,3-dihydroxyoctadecane$N-Trimethyl-2-aminoethylphosphonate; 2-Trimethylaminoethylphosphonate$N-Acylsphingosine; Ceramide$Cholesterol; Cholest-5-en-3beta-ol$Sphinganine 1-phosphate; Dihydrosphingosine 1-phosphate	C00021;C00836;C06459;C00195;C00187;C01120	341.1409,357.136;386.2635;168.0799;481.4481;455.3477,425.3145;381.2656
Vitamin B3 (nicotinate and nicotinamide) metabolism	3	22	0.8581049910134412	0.3620427147500799	N-Ribosylnicotinamide; 1-(beta-D-Ribofuranosyl)nicotinamide$S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine$ADPribose 2'-phosphate	C03150;C00021;C03246	172.1456;341.1409,357.136;214.0219,214.0216
Vitamin A (retinol) metabolism	5	37	0.9017439830610112	0.3788099682135312	all-trans-5,6-Epoxyretinoic acid; all-trans-5,6-Epoxy-5,6-dihydroretinoic acid$all-trans-13,14-Dihydroretinol; 13,14-Dihydroretinol$9-cis-beta-carotene$all-trans-18-Hydroxyretinoic acid$all-trans-4-Hydroxyretinoic acid$beta-Carotene$9-cis-retinoate$9,13-cis-retinoate$beta-Carotene$13-cis-retinoate$13-cis-retinoate	C16680;C15492;CE6579;C16679;C16677;C02094;CE1617;CE5594;caro;CE2952;13-cis-retn	318.2168;271.2424;539.4481,538.4493,280.2163;318.2168;318.2168;538.4493,280.2163;318.2168;318.2168;539.4481,538.4493,280.2163;318.2168;318.2168
Glycosphingolipid biosynthesis - ganglioseries	2	16	0.8691367409035049	0.43942008474252536	N-Acylsphingosine; Ceramide$Sulfatide; Galactosylceramidesulfate; Cerebroside 3-sulfate	C00195;C06125	481.4481;892.6526,891.6489
Biopterin metabolism	2	17	0.8908201021141597	0.47141860349554177	6-Lactoyl-5,6,7,8-tetrahydropterin$Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin$Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone	C04244;C00268;C00272	196.1208;196.1208;310.1104,196.1208
Ascorbate (Vitamin C) and Aldarate Metabolism	2	19	0.9245448171742192	0.5310820839367876	alpha-Tocotrienol$alpha-Tocopherol; Vitamin E	C14153;C02477	425.343;453.367
Pyrimidine metabolism	4	41	0.9801013308918143	0.6290322703016966	Dihydrofolate; Dihydrofolic acid; 7,8-Dihydrofolate; 7,8-Dihydrofolic acid; 7,8-Dihydropteroylglutamate$Cytidine$Deoxycytidine; 2'-Deoxycytidine$dCMP; Deoxycytidylic acid; Deoxycytidine monophosphate; Deoxycytidylate; 2'-Deoxycytidine 5'-monophosphate	C00415;C00475;C00881;C00239	462.1768;216.0981;160.1091,192.0774;224.1027
Sialic acid metabolism	2	30	0.9912444174114823	0.7630836324549992	N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac$Chitobiose	C00270;C01674	292.0999,310.1104;427.1769
Aspartate and asparagine metabolism	5	60	0.9972371455897652	0.7856250047831088	N1-Acetylspermidine$N1,N12-Diacetylspermine$spermine dialdehyde$N1-Acetylspermine$	C00612;C03413;CE1936;C02567;C01029	256.1642;289.2408,289.2407,289.2408,289.2407;186.1503;227.2249;256.1642
Androgen and estrogen biosynthesis and metabolism	6	70	0.9982205803375896	0.8053155366356792	Estradiol-17beta 3-glucuronide; 17beta-Estradiol 3-(beta-D-glucuronide)$2beta-hydroxytestosterone$S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine$Pregnenolone; 5-Pregnen-3beta-ol-20-one; 3beta-Hydroxypregn-5-en-20-one$2-Methoxyestradiol-17beta$16alpha-Hydroxydehydroepiandrosterone; 5-Androstene-3beta,16alpha-diol-17-one$16alpha-Hydroxyandrost-4-ene-3,17-dione; 4-Androsten-16alpha-ol-3,17-dione$2-hydroxy-3-methoxy-17beta-estradiol$11beta-hydroxytestosterone$$19-Hydroxytestosterone; 17beta,19-Dihydroxyandrost-4-en-3-one$11beta-Hydroxyandrost-4-ene-3,17-dione; Androst-4-ene-3,17-dione-11beta-ol; 4-Androsten-11beta-ol-3,17-dione$4-methoxy-17beta-estradiol$19-Hydroxyandrost-4-ene-3,17-dione; 19-Hydroxyandrostenedione$$2-methoxy-17beta-estradiol$6beta-Hydroxytestosterone; 6beta,17beta-Dihydroxyandrost-4-en-3-one$Estrone glucuronide; Estrone 3-glucuronide; Estrone beta-D-glucuronide	C05503;CE1356;C00021;C01953;C05302;C05139;C05140;CE2183;CE1358;C18045;C05294;C05284;CE2186;C05290;C18075;CE2182;C14497;C11133	236.1022;304.2011;341.1409,357.136;271.2424;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;224.1027
Aminosugars metabolism	2	35	0.9968624603490126	0.8271810486492214	N-Trimethyl-2-aminoethylphosphonate; 2-Trimethylaminoethylphosphonate$N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac	C06459;C00270	168.0799;292.0999,310.1104
Xenobiotics metabolism	4	57	0.9988197455865737	0.8408991093829332	Tetradecanoic acid; Tetradecanoate; Myristic acid$(1S)-Hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene$(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene$$(1R)-Hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene$Dodecanoic acid; Dodecanoate; Dodecylcarboxylate; Lauric acid	C06424;C14792;C14793;C14790;C14791;C02679	287.1737;384.1593;384.1593;126.0695;384.1593;200.1772
Tyrosine metabolism	7	87	0.9996495321227714	0.8754320463319181	Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin$S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine$salsoline-1-carboxylate$(-)-Salsoline$Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone$N-Methyltyramine$N-methylsalsolinol	C00268;C00021;CE5627;C09640;C00272;C02442;CE4890	196.1208;341.1409,357.136;209.1058;216.0981;310.1104,196.1208;151.0999;216.0981
Tryptophan metabolism	4	64	0.9996855547367512	0.892154150509289	Dihydrobiopterin; 6,7-Dihydrobiopterin; Quinoid-dihydrobiopterin; (6R)-6-(L-erythro-1,2-Dihydroxypropyl)-7,8-dihydro-6H-pterin$S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine$$Tetrahydrobiopterin; 5,6,7,8-Tetrahydrobiopterin; 2-Amino-6-(1,2-dihydroxypropyl)-5,6,7,8-tetrahydoro-4(1H)-pteridinone	C00268;C00021;CE3140;C00272	196.1208;341.1409,357.136;282.1828;310.1104,196.1208
Urea cycle/amino group metabolism	2	45	0.9996200885647452	0.9084252412753122	N-Methylphenylethanolamine$S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	C03711;C00021	151.0999;341.1409,357.136
Selenoamino acid metabolism	0	18	1.0	0.9999999770790057			
Lysine metabolism	1	26	0.9974960868400963	0.9999999770790057	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	C00021	341.1409,357.136
Methionine and cysteine metabolism	1	37	0.9998078311577367	0.9999999770790057	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	C00021	341.1409,357.136
Phytanic acid peroxisomal oxidation	0	14	1.0	0.9999999770790057			
Omega-6 fatty acid metabolism	0	8	1.0	0.9999999770790057			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	3	1.0	0.9999999770790057			
Starch and Sucrose Metabolism	0	17	1.0	0.9999999770790057			
Beta-Alanine metabolism	0	15	1.0	0.9999999770790057			
Drug metabolism - other enzymes	1	27	0.9980156488206752	0.9999999770790057	N-Acetylisoniazid; (N)1-Acetylisoniazid	C07585	180.0763
Nitrogen metabolism	0	3	1.0	0.9999999770790057			
1- and 2-Methylnaphthalene degradation	0	4	1.0	0.9999999770790057			
Ubiquinone Biosynthesis	1	8	0.8398288051348443	0.9999999770790057	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	C00021	341.1409,357.136
Nucleotide Sugar Metabolism	0	3	1.0	0.9999999770790057			
Carbon fixation	0	3	1.0	0.9999999770790057			
Vitamin B12 (cyanocobalamin) metabolism	1	6	0.7465735915832779	0.9999999770790057	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	C00021	341.1409,357.136
N-Glycan Degradation	1	7	0.798510361704704	0.9999999770790057	N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac	C00270	292.0999,310.1104
Atrazine degradation	0	0	1.0	0.9999999770790057			
Pentose and Glucuronate Interconversions	0	11	1.0	0.9999999770790057			
Vitamin B6 (pyridoxine) metabolism	0	6	1.0	0.9999999770790057			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	5	1.0	0.9999999770790057			
Benzoate degradation via CoA ligation	0	3	1.0	0.9999999770790057			
Phosphatidylinositol phosphate metabolism	0	29	1.0	0.9999999770790057			
Porphyrin metabolism	0	24	1.0	0.9999999770790057			
Glutamate metabolism	0	12	1.0	0.9999999770790057			
Vitamin K metabolism	0	3	1.0	0.9999999770790057			
Proteoglycan biosynthesis	0	8	1.0	0.9999999770790057			
Arginine and Proline Metabolism	0	31	1.0	0.9999999770790057			
Limonene and pinene degradation	0	5	1.0	0.9999999770790057			
O-Glycan biosynthesis	0	5	1.0	0.9999999770790057			
Sphingolipid metabolism	1	2	0.3667737723529658	0.9999999770790057	N-Acylsphingosine; Ceramide	C00195	481.4481
3-Chloroacrylic acid degradation	0	0	1.0	0.9999999770790057			
TCA cycle	0	19	1.0	0.9999999770790057			
Keratan sulfate biosynthesis	0	5	1.0	0.9999999770790057			
Glutathione Metabolism	0	10	1.0	0.9999999770790057			
Alanine and Aspartate Metabolism	0	16	1.0	0.9999999770790057			
Purine metabolism	1	53	0.9999955706679291	0.9999999770790057	Inosine	C00294	146.0393
Polyunsaturated fatty acid biosynthesis	1	7	0.798510361704704	0.9999999770790057	(4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA	C16169	360.1233
Fatty acid oxidation, peroxisome	0	6	1.0	0.9999999770790057			
Heparan sulfate degradation	0	7	1.0	0.9999999770790057			
Dynorphin metabolism	1	7	0.798510361704704	0.9999999770790057	dynorphin A (1-5)	CE2751	472.3173
Vitamin D	0	1	1.0	0.9999999770790057			
D4&E4-neuroprostanes formation	1	19	0.9873047450847953	0.9999999770790057	$$$$$$$$$$$$$$$	CE6466;CE6467;CE6464;CE6465;CE6462;CE6460;CE6459;CE6458;CE6457;CE6456;CE6455;CE6454;CE6453;CE6452;CE6463;CE6461	304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011;304.2011
Geraniol degradation	0	1	1.0	0.9999999770790057			
Glycosphingolipid biosynthesis - neolactoseries	0	7	1.0	0.9999999770790057			
Mono-unsaturated fatty acid beta-oxidation	0	6	1.0	0.9999999770790057			
Butanoate metabolism	0	24	1.0	0.9999999770790057			
CoA Catabolism	0	6	1.0	0.9999999770790057			
Saturated fatty acids beta-oxidation	0	16	1.0	0.9999999770790057			
ROS Detoxification	0	0	1.0	0.9999999770790057			
Fructose and mannose metabolism	1	24	0.996015188671318	0.9999999770790057	GDP-4-keto-6-L-deoxygalactose$GDP-4-dehydro-6-deoxy-D-mannose; GDP-4-dehydro-6-deoxy-D-talose; GDP-4-oxo-6-deoxy-D-mannose; GDP-4-dehydro-D-rhamnose; GDP-4-keto-6-deoxy-D-mannose	C14830;C01222	197.0318;197.0318
Fatty acid oxidation	1	7	0.798510361704704	0.9999999770790057	Ubiquinol-10	q10h2	289.2407,933.6959,289.2408
Glycosaminoglycan degradation	0	0	1.0	0.9999999770790057			
Valine, leucine and isoleucine degradation	1	31	0.9992185460133615	0.9999999770790057	S-(2-Methylbutanoyl)-dihydrolipoamide$S-(3-Methylbutanoyl)-dihydrolipoamide	C05118;C05119	275.1148;275.1148
Glyoxylate and Dicarboxylate Metabolism	0	3	1.0	0.9999999770790057			
Vitamin B9 (folate) metabolism	1	17	0.9798422552021899	0.9999999770790057	Dihydrofolate; Dihydrofolic acid; 7,8-Dihydrofolate; 7,8-Dihydrofolic acid; 7,8-Dihydropteroylglutamate	C00415	462.1768
Heparan sulfate biosynthesis	0	0	1.0	0.9999999770790057			
Lipoate metabolism	0	4	1.0	0.9999999770790057			
Caffeine metabolism	0	11	1.0	0.9999999770790057			
Glycine, serine, alanine and threonine metabolism	1	43	0.9999530251281274	0.9999999770790057	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	C00021	341.1409,357.136
Electron transport chain	0	1	1.0	0.9999999770790057			
Blood Group Biosynthesis	0	7	1.0	0.9999999770790057			
Propanoate metabolism	0	16	1.0	0.9999999770790057			
Parathio degradation	0	3	1.0	0.9999999770790057			
Glycosphingolipid biosynthesis - lactoseries	0	6	1.0	0.9999999770790057			
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0	3	1.0	0.9999999770790057			
Vitamin B5 - CoA biosynthesis from pantothenate	1	9	0.8726945880110458	0.9999999770790057	N-((R)-Pantothenoyl)-L-cysteine; D-Pantothenoyl-L-cysteine; N-Pantothenoylcysteine	C04079	341.1409
Histidine metabolism	1	24	0.996015188671318	0.9999999770790057	S-Adenosyl-L-homocysteine; S-Adenosylhomocysteine	C00021	341.1409,357.136
Glycosphingolipid biosynthesis - globoseries	0	9	1.0	0.9999999770790057			
Vitamin B1 (thiamin) metabolism	0	11	1.0	0.9999999770790057			
Alkaloid biosynthesis II	1	7	0.798510361704704	0.9999999770790057	ecgonine methyl ester	egme	258.0847
3-oxo-10R-octadecatrienoate beta-oxidation	0	1	1.0	0.9999999770790057			
Glycerolipid metabolism	0	0	1.0	0.9999999770790057			
Keratan sulfate degradation	1	7	0.798510361704704	0.9999999770790057	N-Acetylneuraminate; N-Acetylneuraminic acid; 5-Acetamido-3,5-dideoxy-D-glycero-D-galacto-2-nonulosonic acid; Neu5Ac	C00270	292.0999,310.1104
Galactose metabolism	0	34	1.0	0.9999999770790057			
Vitamin B2 (riboflavin) metabolism	1	4	0.5992780741960329	0.9999999770790057	FMN; Riboflavin-5-phosphate; Flavin mononucleotide	C00061	389.1262
Hexose phosphorylation	0	19	1.0	0.9999999770790057			
Di-unsaturated fatty acid beta-oxidation	0	6	1.0	0.9999999770790057			
Chondroitin sulfate degradation	0	6	1.0	0.9999999770790057			
Pyruvate Metabolism	0	12	1.0	0.9999999770790057			
C5-Branched dibasic acid metabolism	0	9	1.0	0.9999999770790057			
R Group Synthesis	0	2	1.0	0.9999999770790057			
Glycolysis and Gluconeogenesis	0	29	1.0	0.9999999770790057			
N-Glycan biosynthesis	0	18	1.0	0.9999999770790057			
Hyaluronan Metabolism	0	4	1.0	0.9999999770790057			
Vitamin D3 (cholecalciferol) metabolism	0	10	1.0	0.9999999770790057			
Pentose phosphate pathway	0	24	1.0	0.9999999770790057			
Vitamin H (biotin) metabolism	0	5	1.0	0.9999999770790057			

Annotation for metabolites in significant pathways
m/z	id	match_form	mz_difference	name	pathway
269.2711	C00696	M-HCOOK+H[1+]	0.0001	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
371.2443	C00696	M+H2O+H[1+]	0.0014	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
371.245	C00696	M+H2O+H[1+]	0.0021	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2383	C00696	M(C13)+H[1+]	0.0026	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
352.2257	C00696	M[1+]	0.0007	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2377	C00696	M(C13)+H[1+]	0.002	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2381	C00696	M(C13)+H[1+]	0.0024	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.238	C00696	M(C13)+H[1+]	0.0023	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2376	C00696	M(C13)+H[1+]	0.0019	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2363	C00696	M(C13)+H[1+]	0.0006	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
354.2372	C00696	M(C13)+H[1+]	0.0015	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
437.1901	C00696	M+HCOOK[1+]	-0.0035	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
352.2241	C00696	M[1+]	-0.0009	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
437.19	C00696	M+HCOOK[1+]	-0.0036	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
371.2448	C00696	M+H2O+H[1+]	0.0019	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
317.2115	C00696	M-H4O2+H[1+]	0.0004	(5Z,13E)-(15S)-9alpha,15-Dihydroxy-11-oxoprosta-5,13-dienoate; Prostaglandin D2	Prostaglandin formation from arachidonate$Arachidonic acid metabolism
324.228	CE5926	M-CO2+H[1+]	-0.0015		Prostaglandin formation from arachidonate
